EER = 0.152980 for C = 7.000000e+01, gamma = 1.000000e-06 
EER = 0.209902 for C = 7.000000e+01, gamma = 3.000000e-06 
EER = 0.322898 for C = 7.000000e+01, gamma = 5.000000e-06 
EER = 0.409428 for C = 7.000000e+01, gamma = 7.000000e-06 
EER = 0.458495 for C = 7.000000e+01, gamma = 9.000000e-06 
EER = 0.115328 for C = 7.000000e+01, gamma = 1.000000e-07 
EER = 0.102884 for C = 7.000000e+01, gamma = 3.000000e-07 
EER = 0.125111 for C = 7.000000e+01, gamma = 5.000000e-07 
EER = 0.139993 for C = 7.000000e+01, gamma = 7.000000e-07 
EER = 0.149490 for C = 7.000000e+01, gamma = 9.000000e-07 
EER = 0.176994 for C = 7.000000e+01, gamma = 1.000000e-08 
EER = 0.171361 for C = 7.000000e+01, gamma = 3.000000e-08 
EER = 0.160746 for C = 7.000000e+01, gamma = 5.000000e-08 
EER = 0.137563 for C = 7.000000e+01, gamma = 7.000000e-08 
EER = 0.119240 for C = 7.000000e+01, gamma = 9.000000e-08 
EER = 0.165494 for C = 7.000000e+01, gamma = 1.000000e-09 
EER = 0.156537 for C = 7.000000e+01, gamma = 3.000000e-09 
EER = 0.153007 for C = 7.000000e+01, gamma = 5.000000e-09 
EER = 0.166022 for C = 7.000000e+01, gamma = 7.000000e-09 
EER = 0.171474 for C = 7.000000e+01, gamma = 9.000000e-09 
EER = 0.224429 for C = 7.000000e+01, gamma = 1.000000e-10 
EER = 0.184136 for C = 7.000000e+01, gamma = 3.000000e-10 
EER = 0.173140 for C = 7.000000e+01, gamma = 5.000000e-10 
EER = 0.164838 for C = 7.000000e+01, gamma = 7.000000e-10 
EER = 0.162763 for C = 7.000000e+01, gamma = 9.000000e-10 
EER = 0.276905 for C = 7.000000e+01, gamma = 1.000000e-11 
EER = 0.259709 for C = 7.000000e+01, gamma = 3.000000e-11 
EER = 0.239846 for C = 7.000000e+01, gamma = 5.000000e-11 
EER = 0.232149 for C = 7.000000e+01, gamma = 7.000000e-11 
EER = 0.227987 for C = 7.000000e+01, gamma = 9.000000e-11 
EER = 0.152980 for C = 9.000000e+01, gamma = 1.000000e-06 
EER = 0.209902 for C = 9.000000e+01, gamma = 3.000000e-06 
EER = 0.322898 for C = 9.000000e+01, gamma = 5.000000e-06 
EER = 0.409428 for C = 9.000000e+01, gamma = 7.000000e-06 
EER = 0.458495 for C = 9.000000e+01, gamma = 9.000000e-06 
EER = 0.115371 for C = 9.000000e+01, gamma = 1.000000e-07 
EER = 0.102884 for C = 9.000000e+01, gamma = 3.000000e-07 
EER = 0.125111 for C = 9.000000e+01, gamma = 5.000000e-07 
EER = 0.139993 for C = 9.000000e+01, gamma = 7.000000e-07 
EER = 0.149490 for C = 9.000000e+01, gamma = 9.000000e-07 
EER = 0.184136 for C = 9.000000e+01, gamma = 1.000000e-08 
EER = 0.176104 for C = 9.000000e+01, gamma = 3.000000e-08 
EER = 0.162170 for C = 9.000000e+01, gamma = 5.000000e-08 
EER = 0.131375 for C = 9.000000e+01, gamma = 7.000000e-08 
EER = 0.120368 for C = 9.000000e+01, gamma = 9.000000e-08 
EER = 0.153359 for C = 9.000000e+01, gamma = 1.000000e-09 
EER = 0.150904 for C = 9.000000e+01, gamma = 3.000000e-09 
EER = 0.162170 for C = 9.000000e+01, gamma = 5.000000e-09 
EER = 0.169363 for C = 9.000000e+01, gamma = 7.000000e-09 
EER = 0.183220 for C = 9.000000e+01, gamma = 9.000000e-09 
EER = 0.216721 for C = 9.000000e+01, gamma = 1.000000e-10 
EER = 0.173760 for C = 9.000000e+01, gamma = 3.000000e-10 
EER = 0.166617 for C = 9.000000e+01, gamma = 5.000000e-10 
EER = 0.163911 for C = 9.000000e+01, gamma = 7.000000e-10 
EER = 0.158987 for C = 9.000000e+01, gamma = 9.000000e-10 
EER = 0.280338 for C = 9.000000e+01, gamma = 1.000000e-11 
EER = 0.249209 for C = 9.000000e+01, gamma = 3.000000e-11 
EER = 0.233027 for C = 9.000000e+01, gamma = 5.000000e-11 
EER = 0.227752 for C = 9.000000e+01, gamma = 7.000000e-11 
EER = 0.219093 for C = 9.000000e+01, gamma = 9.000000e-11 
EER = 0.152980 for C = 1.000000e+02, gamma = 1.000000e-06 
EER = 0.209902 for C = 1.000000e+02, gamma = 3.000000e-06 
EER = 0.323451 for C = 1.000000e+02, gamma = 5.000000e-06 
EER = 0.409428 for C = 1.000000e+02, gamma = 7.000000e-06 
EER = 0.458846 for C = 1.000000e+02, gamma = 9.000000e-06 
EER = 0.115371 for C = 1.000000e+02, gamma = 1.000000e-07 
EER = 0.102884 for C = 1.000000e+02, gamma = 3.000000e-07 
EER = 0.125111 for C = 1.000000e+02, gamma = 5.000000e-07 
EER = 0.139993 for C = 1.000000e+02, gamma = 7.000000e-07 
EER = 0.149490 for C = 1.000000e+02, gamma = 9.000000e-07 
EER = 0.183516 for C = 1.000000e+02, gamma = 1.000000e-08 
EER = 0.178157 for C = 1.000000e+02, gamma = 3.000000e-08 
EER = 0.160095 for C = 1.000000e+02, gamma = 5.000000e-08 
EER = 0.131199 for C = 1.000000e+02, gamma = 7.000000e-08 
EER = 0.120368 for C = 1.000000e+02, gamma = 9.000000e-08 
EER = 0.159205 for C = 1.000000e+02, gamma = 1.000000e-09 
EER = 0.145568 for C = 1.000000e+02, gamma = 3.000000e-09 
EER = 0.162763 for C = 1.000000e+02, gamma = 5.000000e-09 
EER = 0.175695 for C = 1.000000e+02, gamma = 7.000000e-09 
EER = 0.184488 for C = 1.000000e+02, gamma = 9.000000e-09 
EER = 0.209989 for C = 1.000000e+02, gamma = 1.000000e-10 
EER = 0.172177 for C = 1.000000e+02, gamma = 3.000000e-10 
EER = 0.165135 for C = 1.000000e+02, gamma = 5.000000e-10 
EER = 0.165728 for C = 1.000000e+02, gamma = 7.000000e-10 
EER = 0.153359 for C = 1.000000e+02, gamma = 9.000000e-10 
EER = 0.281745 for C = 1.000000e+02, gamma = 1.000000e-11 
EER = 0.246665 for C = 1.000000e+02, gamma = 3.000000e-11 
EER = 0.232434 for C = 1.000000e+02, gamma = 5.000000e-11 
EER = 0.224429 for C = 1.000000e+02, gamma = 7.000000e-11 
EER = 0.216721 for C = 1.000000e+02, gamma = 9.000000e-11 
EER = 0.152980 for C = 3.000000e+02, gamma = 1.000000e-06 
EER = 0.209902 for C = 3.000000e+02, gamma = 3.000000e-06 
EER = 0.322898 for C = 3.000000e+02, gamma = 5.000000e-06 
EER = 0.409428 for C = 3.000000e+02, gamma = 7.000000e-06 
EER = 0.458495 for C = 3.000000e+02, gamma = 9.000000e-06 
EER = 0.115371 for C = 3.000000e+02, gamma = 1.000000e-07 
EER = 0.102884 for C = 3.000000e+02, gamma = 3.000000e-07 
EER = 0.124518 for C = 3.000000e+02, gamma = 5.000000e-07 
EER = 0.139993 for C = 3.000000e+02, gamma = 7.000000e-07 
EER = 0.149490 for C = 3.000000e+02, gamma = 9.000000e-07 
EER = 0.198382 for C = 3.000000e+02, gamma = 1.000000e-08 
EER = 0.175511 for C = 3.000000e+02, gamma = 3.000000e-08 
EER = 0.150904 for C = 3.000000e+02, gamma = 5.000000e-08 
EER = 0.132079 for C = 3.000000e+02, gamma = 7.000000e-08 
EER = 0.120368 for C = 3.000000e+02, gamma = 9.000000e-08 
EER = 0.148611 for C = 3.000000e+02, gamma = 1.000000e-09 
EER = 0.184136 for C = 3.000000e+02, gamma = 3.000000e-09 
EER = 0.183961 for C = 3.000000e+02, gamma = 5.000000e-09 
EER = 0.190468 for C = 3.000000e+02, gamma = 7.000000e-09 
EER = 0.196272 for C = 3.000000e+02, gamma = 9.000000e-09 
EER = 0.171361 for C = 3.000000e+02, gamma = 1.000000e-10 
EER = 0.155118 for C = 3.000000e+02, gamma = 3.000000e-10 
EER = 0.157723 for C = 3.000000e+02, gamma = 5.000000e-10 
EER = 0.160391 for C = 3.000000e+02, gamma = 7.000000e-10 
