EER = 0.023718 for C = 5.000000e+02, gamma = 3.000000e-07 
EER = 0.033205 for C = 5.000000e+02, gamma = 5.000000e-07 
EER = 0.043878 for C = 5.000000e+02, gamma = 7.000000e-07 
EER = 0.051290 for C = 5.000000e+02, gamma = 9.000000e-07 
EER = 0.059887 for C = 5.000000e+02, gamma = 1.000000e-08 
EER = 0.115031 for C = 5.000000e+02, gamma = 3.000000e-08 
EER = 0.072043 for C = 5.000000e+02, gamma = 5.000000e-08 
EER = 0.038245 for C = 5.000000e+02, gamma = 7.000000e-08 
EER = 0.026090 for C = 5.000000e+02, gamma = 9.000000e-08 
EER = 0.032019 for C = 5.000000e+02, gamma = 1.000000e-09 
EER = 0.041506 for C = 5.000000e+02, gamma = 3.000000e-09 
EER = 0.037059 for C = 5.000000e+02, gamma = 5.000000e-09 
EER = 0.040617 for C = 5.000000e+02, gamma = 7.000000e-09 
EER = 0.058109 for C = 5.000000e+02, gamma = 9.000000e-09 
EER = 0.025793 for C = 5.000000e+02, gamma = 1.000000e-10 
EER = 0.016602 for C = 5.000000e+02, gamma = 3.000000e-10 
EER = 0.021939 for C = 5.000000e+02, gamma = 5.000000e-10 
EER = 0.027275 for C = 5.000000e+02, gamma = 7.000000e-10 
EER = 0.030537 for C = 5.000000e+02, gamma = 9.000000e-10 
EER = 0.137563 for C = 5.000000e+02, gamma = 1.000000e-11 
EER = 0.083309 for C = 5.000000e+02, gamma = 3.000000e-11 
EER = 0.055144 for C = 5.000000e+02, gamma = 5.000000e-11 
EER = 0.037059 for C = 5.000000e+02, gamma = 7.000000e-11 
EER = 0.029351 for C = 5.000000e+02, gamma = 9.000000e-11 
EER = 0.055737 for C = 7.000000e+02, gamma = 1.000000e-06 
EER = 0.125704 for C = 7.000000e+02, gamma = 3.000000e-06 
EER = 0.199229 for C = 7.000000e+02, gamma = 5.000000e-06 
EER = 0.265342 for C = 7.000000e+02, gamma = 7.000000e-06 
EER = 0.300623 for C = 7.000000e+02, gamma = 9.000000e-06 
EER = 0.019271 for C = 7.000000e+02, gamma = 1.000000e-07 
EER = 0.023718 for C = 7.000000e+02, gamma = 3.000000e-07 
EER = 0.033205 for C = 7.000000e+02, gamma = 5.000000e-07 
