EER = 0.496591 for C = 1.000000e+02, gamma = 5.000000e-11 
EER = 0.499555 for C = 1.000000e+02, gamma = 7.000000e-11 
EER = 0.501334 for C = 1.000000e+02, gamma = 9.000000e-11 
EER = 0.412985 for C = 3.000000e+02, gamma = 1.000000e-06 
EER = 0.530388 for C = 3.000000e+02, gamma = 3.000000e-06 
EER = 0.573080 for C = 3.000000e+02, gamma = 5.000000e-06 
EER = 0.606285 for C = 3.000000e+02, gamma = 7.000000e-06 
EER = 0.638008 for C = 3.000000e+02, gamma = 9.000000e-06 
EER = 0.232434 for C = 3.000000e+02, gamma = 1.000000e-07 
EER = 0.262378 for C = 3.000000e+02, gamma = 3.000000e-07 
EER = 0.302994 for C = 3.000000e+02, gamma = 5.000000e-07 
EER = 0.357249 for C = 3.000000e+02, gamma = 7.000000e-07 
EER = 0.396087 for C = 3.000000e+02, gamma = 9.000000e-07 
EER = 0.252891 for C = 3.000000e+02, gamma = 1.000000e-08 
EER = 0.239253 for C = 3.000000e+02, gamma = 3.000000e-08 
EER = 0.233323 for C = 3.000000e+02, gamma = 5.000000e-08 
EER = 0.230655 for C = 3.000000e+02, gamma = 7.000000e-08 
EER = 0.231545 for C = 3.000000e+02, gamma = 9.000000e-08 
EER = 0.372072 for C = 3.000000e+02, gamma = 1.000000e-09 
EER = 0.328491 for C = 3.000000e+02, gamma = 3.000000e-09 
EER = 0.301216 for C = 3.000000e+02, gamma = 5.000000e-09 
EER = 0.257338 for C = 3.000000e+02, gamma = 7.000000e-09 
EER = 0.249926 for C = 3.000000e+02, gamma = 9.000000e-09 
EER = 0.518529 for C = 3.000000e+02, gamma = 1.000000e-10 
EER = 0.478506 for C = 3.000000e+02, gamma = 3.000000e-10 
EER = 0.451823 for C = 3.000000e+02, gamma = 5.000000e-10 
EER = 0.406167 for C = 3.000000e+02, gamma = 7.000000e-10 
EER = 0.376816 for C = 3.000000e+02, gamma = 9.000000e-10 
EER = 0.496887 for C = 3.000000e+02, gamma = 1.000000e-11 
EER = 0.501334 for C = 3.000000e+02, gamma = 3.000000e-11 
EER = 0.517344 for C = 3.000000e+02, gamma = 5.000000e-11 
EER = 0.522680 for C = 3.000000e+02, gamma = 7.000000e-11 
EER = 0.520012 for C = 3.000000e+02, gamma = 9.000000e-11 
EER = 0.412985 for C = 5.000000e+02, gamma = 1.000000e-06 
EER = 0.530388 for C = 5.000000e+02, gamma = 3.000000e-06 
EER = 0.573080 for C = 5.000000e+02, gamma = 5.000000e-06 
EER = 0.606285 for C = 5.000000e+02, gamma = 7.000000e-06 
EER = 0.638008 for C = 5.000000e+02, gamma = 9.000000e-06 
EER = 0.247258 for C = 5.000000e+02, gamma = 1.000000e-07 
EER = 0.262378 for C = 5.000000e+02, gamma = 3.000000e-07 
EER = 0.302994 for C = 5.000000e+02, gamma = 5.000000e-07 
EER = 0.357249 for C = 5.000000e+02, gamma = 7.000000e-07 
EER = 0.396087 for C = 5.000000e+02, gamma = 9.000000e-07 
EER = 0.254076 for C = 5.000000e+02, gamma = 1.000000e-08 
EER = 0.234509 for C = 5.000000e+02, gamma = 3.000000e-08 
EER = 0.235399 for C = 5.000000e+02, gamma = 5.000000e-08 
EER = 0.232138 for C = 5.000000e+02, gamma = 7.000000e-08 
EER = 0.243996 for C = 5.000000e+02, gamma = 9.000000e-08 
EER = 0.357545 for C = 5.000000e+02, gamma = 1.000000e-09 
EER = 0.300919 for C = 5.000000e+02, gamma = 3.000000e-09 
EER = 0.247554 for C = 5.000000e+02, gamma = 5.000000e-09 
EER = 0.254966 for C = 5.000000e+02, gamma = 7.000000e-09 
EER = 0.256152 for C = 5.000000e+02, gamma = 9.000000e-09 
EER = 0.512897 for C = 5.000000e+02, gamma = 1.000000e-10 
EER = 0.451823 for C = 5.000000e+02, gamma = 3.000000e-10 
EER = 0.382449 for C = 5.000000e+02, gamma = 5.000000e-10 
EER = 0.369997 for C = 5.000000e+02, gamma = 7.000000e-10 
EER = 0.358138 for C = 5.000000e+02, gamma = 9.000000e-10 
EER = 0.496591 for C = 5.000000e+02, gamma = 1.000000e-11 
EER = 0.517344 for C = 5.000000e+02, gamma = 3.000000e-11 
EER = 0.520605 for C = 5.000000e+02, gamma = 5.000000e-11 
EER = 0.517640 for C = 5.000000e+02, gamma = 7.000000e-11 
EER = 0.516158 for C = 5.000000e+02, gamma = 9.000000e-11 
EER = 0.412985 for C = 7.000000e+02, gamma = 1.000000e-06 
EER = 0.530388 for C = 7.000000e+02, gamma = 3.000000e-06 
EER = 0.573080 for C = 7.000000e+02, gamma = 5.000000e-06 
EER = 0.606285 for C = 7.000000e+02, gamma = 7.000000e-06 
EER = 0.638008 for C = 7.000000e+02, gamma = 9.000000e-06 
EER = 0.247258 for C = 7.000000e+02, gamma = 1.000000e-07 
EER = 0.262378 for C = 7.000000e+02, gamma = 3.000000e-07 
EER = 0.302994 for C = 7.000000e+02, gamma = 5.000000e-07 
