EER = 0.067003 for C = 1.000000e+02, gamma = 9.000000e-10 
EER = 0.061666 for C = 1.000000e+02, gamma = 1.000000e-11 
EER = 0.029944 for C = 1.000000e+02, gamma = 3.000000e-11 
EER = 0.029351 for C = 1.000000e+02, gamma = 5.000000e-11 
EER = 0.030833 for C = 1.000000e+02, gamma = 7.000000e-11 
EER = 0.034391 for C = 1.000000e+02, gamma = 9.000000e-11 
EER = 0.297658 for C = 3.000000e+02, gamma = 1.000000e-06 
EER = 0.245775 for C = 3.000000e+02, gamma = 3.000000e-06 
EER = 0.226801 for C = 3.000000e+02, gamma = 5.000000e-06 
EER = 0.232434 for C = 3.000000e+02, gamma = 7.000000e-06 
EER = 0.249629 for C = 3.000000e+02, gamma = 9.000000e-06 
EER = 0.173733 for C = 3.000000e+02, gamma = 1.000000e-07 
EER = 0.248147 for C = 3.000000e+02, gamma = 3.000000e-07 
EER = 0.274830 for C = 3.000000e+02, gamma = 5.000000e-07 
EER = 0.287281 for C = 3.000000e+02, gamma = 7.000000e-07 
EER = 0.294990 for C = 3.000000e+02, gamma = 9.000000e-07 
EER = 0.182923 for C = 3.000000e+02, gamma = 1.000000e-08 
EER = 0.185888 for C = 3.000000e+02, gamma = 3.000000e-08 
EER = 0.174622 for C = 3.000000e+02, gamma = 5.000000e-08 
EER = 0.174029 for C = 3.000000e+02, gamma = 7.000000e-08 
EER = 0.174029 for C = 3.000000e+02, gamma = 9.000000e-08 
EER = 0.075007 for C = 3.000000e+02, gamma = 1.000000e-09 
EER = 0.073822 for C = 3.000000e+02, gamma = 3.000000e-09 
EER = 0.176401 for C = 3.000000e+02, gamma = 5.000000e-09 
EER = 0.193003 for C = 3.000000e+02, gamma = 7.000000e-09 
EER = 0.184406 for C = 3.000000e+02, gamma = 9.000000e-09 
EER = 0.053958 for C = 3.000000e+02, gamma = 1.000000e-10 
EER = 0.066706 for C = 3.000000e+02, gamma = 3.000000e-10 
EER = 0.071153 for C = 3.000000e+02, gamma = 5.000000e-10 
EER = 0.073229 for C = 3.000000e+02, gamma = 7.000000e-10 
EER = 0.073822 for C = 3.000000e+02, gamma = 9.000000e-10 
EER = 0.030240 for C = 3.000000e+02, gamma = 1.000000e-11 
EER = 0.034391 for C = 3.000000e+02, gamma = 3.000000e-11 
EER = 0.041506 for C = 3.000000e+02, gamma = 5.000000e-11 
EER = 0.047139 for C = 3.000000e+02, gamma = 7.000000e-11 
EER = 0.052179 for C = 3.000000e+02, gamma = 9.000000e-11 
EER = 0.297658 for C = 5.000000e+02, gamma = 1.000000e-06 
EER = 0.245775 for C = 5.000000e+02, gamma = 3.000000e-06 
EER = 0.226801 for C = 5.000000e+02, gamma = 5.000000e-06 
EER = 0.232434 for C = 5.000000e+02, gamma = 7.000000e-06 
EER = 0.249629 for C = 5.000000e+02, gamma = 9.000000e-06 
EER = 0.176994 for C = 5.000000e+02, gamma = 1.000000e-07 
EER = 0.248147 for C = 5.000000e+02, gamma = 3.000000e-07 
EER = 0.274830 for C = 5.000000e+02, gamma = 5.000000e-07 
EER = 0.287281 for C = 5.000000e+02, gamma = 7.000000e-07 
EER = 0.294990 for C = 5.000000e+02, gamma = 9.000000e-07 
EER = 0.193893 for C = 5.000000e+02, gamma = 1.000000e-08 
EER = 0.190039 for C = 5.000000e+02, gamma = 3.000000e-08 
EER = 0.187074 for C = 5.000000e+02, gamma = 5.000000e-08 
EER = 0.179662 for C = 5.000000e+02, gamma = 7.000000e-08 
EER = 0.175215 for C = 5.000000e+02, gamma = 9.000000e-08 
EER = 0.073822 for C = 5.000000e+02, gamma = 1.000000e-09 
EER = 0.159798 for C = 5.000000e+02, gamma = 3.000000e-09 
EER = 0.196264 for C = 5.000000e+02, gamma = 5.000000e-09 
EER = 0.191224 for C = 5.000000e+02, gamma = 7.000000e-09 
EER = 0.195968 for C = 5.000000e+02, gamma = 9.000000e-09 
EER = 0.060777 for C = 5.000000e+02, gamma = 1.000000e-10 
EER = 0.071746 for C = 5.000000e+02, gamma = 3.000000e-10 
EER = 0.073822 for C = 5.000000e+02, gamma = 5.000000e-10 
EER = 0.074711 for C = 5.000000e+02, gamma = 7.000000e-10 
EER = 0.074118 for C = 5.000000e+02, gamma = 9.000000e-10 
EER = 0.029351 for C = 5.000000e+02, gamma = 1.000000e-11 
EER = 0.041210 for C = 5.000000e+02, gamma = 3.000000e-11 
EER = 0.050993 for C = 5.000000e+02, gamma = 5.000000e-11 
EER = 0.056330 for C = 5.000000e+02, gamma = 7.000000e-11 
EER = 0.058405 for C = 5.000000e+02, gamma = 9.000000e-11 
