EER = 0.039571 for C = 1.000000e+02, gamma = 1.000000e-09 
EER = 0.095464 for C = 1.000000e+02, gamma = 3.000000e-09 
EER = 0.151776 for C = 1.000000e+02, gamma = 5.000000e-09 
EER = 0.164967 for C = 1.000000e+02, gamma = 7.000000e-09 
EER = 0.187830 for C = 1.000000e+02, gamma = 9.000000e-09 
EER = 0.037812 for C = 1.000000e+02, gamma = 1.000000e-10 
EER = 0.029722 for C = 1.000000e+02, gamma = 3.000000e-10 
EER = 0.031426 for C = 1.000000e+02, gamma = 5.000000e-10 
EER = 0.033798 for C = 1.000000e+02, gamma = 7.000000e-10 
EER = 0.038245 for C = 1.000000e+02, gamma = 9.000000e-10 
EER = 0.044847 for C = 1.000000e+02, gamma = 1.000000e-11 
EER = 0.044847 for C = 1.000000e+02, gamma = 3.000000e-11 
EER = 0.044847 for C = 1.000000e+02, gamma = 5.000000e-11 
EER = 0.042099 for C = 1.000000e+02, gamma = 7.000000e-11 
EER = 0.038245 for C = 1.000000e+02, gamma = 9.000000e-11 
EER = 0.364364 for C = 3.000000e+02, gamma = 1.000000e-06 
EER = 0.302698 for C = 3.000000e+02, gamma = 3.000000e-06 
EER = 0.239846 for C = 3.000000e+02, gamma = 5.000000e-06 
EER = 0.199229 for C = 3.000000e+02, gamma = 7.000000e-06 
EER = 0.179069 for C = 3.000000e+02, gamma = 9.000000e-06 
EER = 0.397819 for C = 3.000000e+02, gamma = 1.000000e-07 
EER = 0.425783 for C = 3.000000e+02, gamma = 3.000000e-07 
EER = 0.424024 for C = 3.000000e+02, gamma = 5.000000e-07 
EER = 0.407945 for C = 3.000000e+02, gamma = 7.000000e-07 
EER = 0.376539 for C = 3.000000e+02, gamma = 9.000000e-07 
EER = 0.274534 for C = 3.000000e+02, gamma = 1.000000e-08 
EER = 0.385117 for C = 3.000000e+02, gamma = 3.000000e-08 
EER = 0.359324 for C = 3.000000e+02, gamma = 5.000000e-08 
EER = 0.370590 for C = 3.000000e+02, gamma = 7.000000e-08 
EER = 0.390750 for C = 3.000000e+02, gamma = 9.000000e-08 
EER = 0.095146 for C = 3.000000e+02, gamma = 1.000000e-09 
EER = 0.184840 for C = 3.000000e+02, gamma = 3.000000e-09 
EER = 0.200119 for C = 3.000000e+02, gamma = 5.000000e-09 
EER = 0.229511 for C = 3.000000e+02, gamma = 7.000000e-09 
EER = 0.254373 for C = 3.000000e+02, gamma = 9.000000e-09 
EER = 0.029722 for C = 3.000000e+02, gamma = 1.000000e-10 
EER = 0.038340 for C = 3.000000e+02, gamma = 3.000000e-10 
EER = 0.052409 for C = 3.000000e+02, gamma = 5.000000e-10 
EER = 0.069671 for C = 3.000000e+02, gamma = 7.000000e-10 
EER = 0.082483 for C = 3.000000e+02, gamma = 9.000000e-10 
EER = 0.044847 for C = 3.000000e+02, gamma = 1.000000e-11 
EER = 0.038245 for C = 3.000000e+02, gamma = 3.000000e-11 
EER = 0.034295 for C = 3.000000e+02, gamma = 5.000000e-11 
EER = 0.030953 for C = 3.000000e+02, gamma = 7.000000e-11 
EER = 0.029370 for C = 3.000000e+02, gamma = 9.000000e-11 
